,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y,bend_angle,scaled_voltage
0,0.0,0.0,0.0,18.0,56.0,623.0,0.0,405.7094175684722,189.3048384548372,404.8300667417157,357.4359807940637,-1.5655662260735177,3.0419921875
1,0.02996826171875,0.0,0.0,20.0,56.0,622.0,0.0,405.7094175684722,189.3048384548372,404.8300667417157,357.4359807940637,-1.5655662260735177,3.037109375
2,0.04998779296875,0.0,0.0,18.0,56.0,621.0,0.0,405.72227505033595,189.3492786979257,404.83414664611814,357.44549081322515,-1.565512923146576,3.0322265625
3,0.0799560546875,0.0,0.0,19.0,56.0,621.0,0.0,405.7094175684722,189.3048384548372,404.8391265448902,357.4750556588867,-1.5656213126395038,3.0322265625
4,0.1099853515625,175.0,175.0,19.0,56.0,621.0,0.0,405.7094175684722,189.3048384548372,404.95068923998247,357.4837021352618,-1.5662849205190608,3.0322265625
5,0.1300048828125,175.0,175.0,18.0,56.0,622.0,0.0,405.7094175684722,189.3048384548372,405.61353333018917,358.21227178574514,-1.5702286535664751,3.037109375
6,0.15997314453125,175.0,175.0,20.0,56.0,621.0,0.0,405.7731656084498,189.34093479045393,407.1570610411628,358.83931378337775,1.5626318553038396,3.0322265625
7,0.19000244140625,175.0,175.0,23.0,56.0,617.0,0.0,405.7731656084498,189.34093479045393,407.1570610411628,358.83931378337775,1.5626318553038396,3.0126953125
8,0.219970703125,175.0,175.0,19.0,56.0,612.0,0.0,405.7731656084498,189.34093479045393,407.1570610411628,358.83931378337775,1.5626318553038396,2.98828125
9,0.25,175.0,175.0,23.0,55.0,605.0,0.0,405.73672203553207,189.4096310753307,418.04093121736815,362.02447764053716,1.4996353959342612,2.9541015625
10,0.27996826171875,175.0,175.0,21.0,57.0,601.0,0.0,405.73672203553207,189.4096310753307,418.04093121736815,362.02447764053716,1.4996353959342612,2.9345703125
11,0.30999755859375,175.0,175.0,20.0,56.0,595.0,0.0,405.72386170475664,189.3652117578009,421.9600190270943,362.6354864607131,1.4773649190644378,2.9052734375
12,0.3399658203125,175.0,175.0,21.0,57.0,588.0,0.0,405.72386170475664,189.3652117578009,424.4083895195435,362.9699134649842,1.4635821752807057,2.87109375
13,0.3699951171875,175.0,175.0,23.0,57.0,585.0,0.0,405.7875954362694,189.40128482867627,425.32696542330126,363.23730439307695,1.4588649716181632,2.8564453125
14,0.3900146484375,175.0,175.0,25.0,56.0,577.0,0.0,405.72386170475664,189.3652117578009,425.35895565264815,363.73472163703553,1.4586624586707568,2.8173828125
15,0.41998291015625,175.0,175.0,19.0,56.0,574.0,0.0,405.72386170475664,189.3652117578009,425.35895565264815,363.73472163703553,1.4586624586707568,2.802734375
16,0.45001220703125,175.0,175.0,21.0,56.0,569.0,0.0,405.7055034737979,189.32100526454516,425.38741272391053,363.8692658038078,1.458511484616297,2.7783203125
17,0.47998046875,175.0,175.0,22.0,56.0,564.0,3.0,405.7875954362694,189.40128482867627,425.7836021895326,364.03549103694195,1.4567905966578223,2.75390625
18,0.510009765625,175.0,175.0,26.0,57.0,561.0,0.0,405.6734895237907,189.4188870235398,427.3247135923839,364.448550945079,1.4477212289022687,2.7392578125
19,0.53997802734375,175.0,175.0,20.0,56.0,558.0,0.0,405.72386170475664,189.3652117578009,429.7021701149135,364.6301099520982,1.4348286446984322,2.724609375
20,0.57000732421875,175.0,175.0,23.0,57.0,553.0,0.0,405.72386170475664,189.3652117578009,432.1309311442113,364.74224369197475,1.4213459035079434,2.7001953125
21,0.5999755859375,175.0,175.0,22.0,56.0,549.0,0.0,405.8006381258818,189.4455693919666,434.0036802256106,364.68812756107826,1.4112274171108141,2.6806640625
22,0.6300048828125,175.0,175.0,21.0,56.0,546.0,0.0,405.8006381258818,189.4455693919666,434.0036802256106,364.68812756107826,1.4112274171108141,2.666015625
23,0.65997314453125,175.0,175.0,21.0,56.0,542.0,0.0,405.7055034737979,189.32100526454516,435.1679074892081,364.76015573212044,1.404413681844504,2.646484375
24,0.69000244140625,175.0,175.0,22.0,56.0,540.0,0.0,405.7049671717783,189.3528388266066,435.30319707184236,364.86828584866987,1.403732116684217,2.63671875
25,0.7099609375,175.0,175.0,27.0,57.0,538.0,0.0,405.72386170475664,189.3652117578009,434.653818620227,364.8928384259755,1.4074477517565482,2.626953125
26,0.739990234375,175.0,175.0,21.0,56.0,535.0,0.0,405.72386170475664,189.3652117578009,433.65648764362516,365.04176208864556,1.413115953210987,2.6123046875
27,0.76995849609375,175.0,175.0,20.0,57.0,536.0,0.0,405.72386170475664,189.3652117578009,433.38828416056447,365.33835931500784,1.4148643540909316,2.6171875
28,0.79998779296875,175.0,175.0,22.0,56.0,533.0,0.0,405.72386170475664,189.3652117578009,433.38828416056447,365.33835931500784,1.4148643540909316,2.6025390625
29,0.8299560546875,175.0,175.0,27.0,56.0,530.0,0.0,405.7492094331021,189.37186515995114,435.4443078487789,365.20176615191815,1.403489687835774,2.587890625
30,0.8599853515625,175.0,175.0,21.0,56.0,531.0,0.0,405.7492094331021,189.37186515995114,435.4443078487789,365.20176615191815,1.403489687835774,2.5927734375
31,0.8900146484375,175.0,175.0,22.0,56.0,530.0,0.0,405.6665886577003,189.32340919349045,437.32411699004047,364.90007449493663,1.3924069959532468,2.587890625
32,0.91998291015625,175.0,175.0,21.0,57.0,528.0,0.0,405.6983446859587,189.38020007024699,438.27230290210707,365.1376761707194,1.3875409608699771,2.578125
