,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y
0,0.0,0.0,0.0,23.0,63.0,0.0,0.0,600.4234613553929,221.71871240452,606.5410338607793,397.14924017255134
1,0.019989013671875,0.0,0.0,22.0,61.0,3.0,0.0,600.4562019054562,221.61167112276436,606.5424279674897,396.9959106569899
2,0.03997802734375,0.0,0.0,23.0,61.0,0.0,0.0,600.422273742814,221.61716838870885,606.5547780569591,397.1007272678991
3,0.05999755859375,0.0,0.0,21.0,61.0,2.0,0.0,600.422273742814,221.61716838870885,606.5547780569591,397.1007272678991
4,0.089996337890625,25.0,25.0,21.0,61.0,0.0,5.0,600.4353375261078,221.56283391472866,606.5547780569591,397.1007272678991
5,0.1099853515625,25.0,25.0,17.0,61.0,0.0,3.0,600.4618581859944,221.51485079807904,606.5529419801267,397.03444766322826
6,0.139984130859375,25.0,25.0,22.0,61.0,1.0,6.0,600.4562019054562,221.61167112276436,606.5410338607793,397.14924017255134
7,0.160003662109375,25.0,25.0,25.0,61.0,2.0,0.0,600.4562019054562,221.61167112276436,606.5410338607793,397.14924017255134
8,0.19000244140625,25.0,25.0,24.0,62.0,1.0,2.0,600.4994934021371,221.68175004189217,606.5529419801267,397.03444766322826
9,0.209991455078125,25.0,25.0,16.0,61.0,2.0,3.0,600.5062236252442,221.7354699480232,606.5410338607793,397.14924017255134
10,0.239990234375,25.0,25.0,23.0,61.0,2.0,4.0,600.4353375261078,221.56283391472866,606.5694371966288,397.12256514453696
11,0.259979248046875,25.0,25.0,20.0,62.0,2.0,2.0,600.4353375261078,221.56283391472866,606.5694371966288,397.12256514453696
12,0.28997802734375,25.0,25.0,21.0,61.0,1.0,7.0,600.4047597864845,221.6791477724684,606.5410338607793,397.14924017255134
13,0.30999755859375,25.0,25.0,22.0,61.0,0.0,1.0,600.4431128644792,221.66552657740985,606.6317865121476,397.06704542463837
14,0.339996337890625,25.0,25.0,25.0,61.0,2.0,4.0,600.4353375261078,221.56283391472866,606.5653311023522,397.1393921122145
15,0.3599853515625,25.0,25.0,26.0,61.0,4.0,0.0,600.4353375261078,221.56283391472866,606.5653311023522,397.1393921122145
16,0.389984130859375,25.0,25.0,24.0,60.0,4.0,0.0,600.4562019054562,221.61167112276436,606.5410338607793,397.14924017255134
17,0.410003662109375,25.0,25.0,24.0,61.0,2.0,12.0,600.4562019054562,221.61167112276436,606.5410338607793,397.14924017255134
18,0.44000244140625,25.0,25.0,24.0,61.0,1.0,5.0,600.4763763044047,221.69161096031885,606.590570481717,397.34099344148893
19,0.459991455078125,25.0,25.0,24.0,62.0,2.0,0.0,600.4763763044047,221.69161096031885,606.590570481717,397.34099344148893
20,0.489990234375,25.0,25.0,26.0,61.0,2.0,1.0,600.4972524044239,221.74048729790115,606.6148691775966,397.3311520614943
21,0.509979248046875,25.0,25.0,27.0,61.0,2.0,4.0,600.4704631977164,221.80041458237704,606.5919597144728,397.1876696820949
22,0.53997802734375,25.0,25.0,25.0,61.0,3.0,0.0,600.4972524044239,221.74048729790115,606.590570481717,397.34099344148893
23,0.55999755859375,25.0,25.0,25.0,62.0,2.0,0.0,600.4972524044239,221.74048729790115,606.590570481717,397.34099344148893
24,0.589996337890625,25.0,25.0,19.0,61.0,2.0,6.0,600.453015244152,221.86177942721545,606.6043141079904,397.29248583524935
25,0.6099853515625,25.0,25.0,25.0,61.0,1.0,0.0,600.4975939941186,221.80255704306262,606.6043141079904,397.29248583524935
26,0.639984130859375,25.0,25.0,27.0,61.0,2.0,1.0,600.4457900389252,221.80800625115924,606.6148691775966,397.3311520614943
27,0.660003662109375,25.0,25.0,27.0,60.0,1.0,0.0,600.4457900389252,221.80800625115924,606.6148691775966,397.3311520614943
28,0.69000244140625,25.0,25.0,19.0,61.0,2.0,6.0,600.4789605763144,221.79517279257175,606.6673252971278,397.3071301973818
29,0.709991455078125,25.0,25.0,26.0,61.0,2.0,0.0,600.4457900389252,221.80800625115924,606.7068396971841,397.16673770380993
30,0.739990234375,25.0,25.0,24.0,61.0,1.0,1.0,600.4457900389252,221.80800625115924,606.8770158913302,397.3577828405425
31,0.759979248046875,25.0,25.0,23.0,61.0,2.0,0.0,600.4457900389252,221.80800625115924,606.8770158913302,397.3577828405425
32,0.78997802734375,25.0,25.0,24.0,62.0,1.0,1.0,600.4972524044239,221.74048729790115,607.0064041356919,397.44992692537323
33,0.80999755859375,25.0,25.0,26.0,61.0,0.0,2.0,600.4972524044239,221.74048729790115,607.0064041356919,397.44992692537323
34,0.839996337890625,25.0,25.0,25.0,62.0,1.0,7.0,600.4633090902316,221.74598366122746,607.0431315012039,397.41721305482633
35,0.8599853515625,25.0,25.0,24.0,61.0,1.0,0.0,600.4633090902316,221.74598366122746,607.0431315012039,397.41721305482633
36,0.889984130859375,25.0,25.0,21.0,61.0,2.0,0.0,600.443676865354,221.7996746929444,607.0222320673431,397.40147565458085
37,0.910003662109375,25.0,25.0,25.0,60.0,1.0,0.0,600.38199161039,221.60058027234044,606.7487441222137,397.37463709354085
38,0.94000244140625,25.0,25.0,22.0,61.0,2.0,2.0,600.3514686546123,221.71697920062599,606.7487441222137,397.37463709354085
39,0.959991455078125,25.0,25.0,24.0,61.0,4.0,4.0,600.3514686546123,221.71697920062599,606.7487441222137,397.37463709354085
40,0.989990234375,25.0,25.0,23.0,61.0,1.0,1.0,600.3846118315812,221.70414767279567,606.9048672442591,397.4032536915612
