,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y,scaled_voltage,resistance,bend_angle
280,9.29998779296875,100.0,100.0,133.0,140.0,569.0,562.0,357.17687448069887,333.40236267135907,403.9482850760524,489.06500222493713,2.7783203125,37.58347978910369,0.5837694671600504
281,9.3299560546875,100.0,100.0,133.0,141.0,571.0,560.0,357.27145574663064,333.4316750626768,403.96741741195115,489.10451485418287,2.7880859375,37.28721541155867,0.5828441616147985
282,9.3699951171875,100.0,100.0,132.0,139.0,574.0,560.0,357.16075193107423,333.4665306830977,403.9339886595971,489.1076550297136,2.802734375,36.846689895470384,0.5838671805458868
283,9.39996337890625,100.0,100.0,131.0,139.0,571.0,561.0,357.21419379422065,333.48649873143813,404.0101815018164,489.0332656389582,2.7880859375,37.28721541155867,0.5844698253027714
284,9.44000244140625,100.0,100.0,132.0,140.0,572.0,562.0,357.1289312485703,333.4028439353714,403.9482850760524,489.06500222493713,2.79296875,37.13986013986014,0.5843361069932055
285,9.469970703125,100.0,100.0,133.0,139.0,573.0,565.0,357.1377743961959,333.4956786264719,403.9339886595971,489.1076550297136,2.7978515625,36.99301919720768,0.5842412726315974
286,9.5,100.0,100.0,132.0,140.0,570.0,564.0,357.2521802768664,333.416237874808,403.9339886595971,489.1076550297136,2.783203125,37.435087719298245,0.582611675302678
287,9.52996826171875,100.0,100.0,131.0,140.0,570.0,563.0,357.1949193038978,333.47082418502606,403.9482850760524,489.06500222493713,2.783203125,37.435087719298245,0.5837992424414232
288,9.57000732421875,100.0,100.0,132.0,138.0,574.0,564.0,357.16075193107423,333.4665306830977,404.0101815018164,489.0332656389582,2.802734375,36.846689895470384,0.5850289923635617
289,9.5999755859375,100.0,100.0,132.0,140.0,573.0,564.0,357.19598735860734,333.44040060058916,404.0216943091897,488.9894508730571,2.7978515625,36.99301919720768,0.5848121136474489
290,9.6300048828125,100.0,100.0,131.0,140.0,572.0,566.0,357.1378782565259,333.47298884417665,403.9482850760524,489.06500222493713,2.79296875,37.13986013986014,0.5844793350829526
291,9.66998291015625,100.0,100.0,133.0,139.0,574.0,565.0,357.1185596244974,333.47987550297296,403.9339886595971,489.1076550297136,2.802734375,36.846689895470384,0.5844117129539392
292,9.699951171875,100.0,100.0,131.0,139.0,568.0,564.0,357.22758549379074,333.46631341010976,403.9339886595971,489.1076550297136,2.7734375,37.732394366197184,0.5830786394791535
293,9.72998046875,100.0,100.0,132.0,139.0,573.0,566.0,357.2174368361775,333.4644349628925,403.9482850760524,489.06500222493713,2.7978515625,36.99301919720768,0.5835111377473255
294,9.76995849609375,100.0,100.0,133.0,139.0,573.0,563.0,357.19598735860734,333.44040060058916,403.96741741195115,489.10451485418287,2.7978515625,36.99301919720768,0.5837644748602053
295,9.79998779296875,100.0,100.0,133.0,140.0,571.0,562.0,357.2744202262654,333.41002651315034,403.9339886595971,489.1076550297136,2.7880859375,37.28721541155867,0.5823275967462309
296,9.8299560546875,100.0,100.0,132.0,139.0,574.0,562.0,357.2095461254358,333.39957730239894,403.9027841345253,489.00758815523375,2.802734375,36.846689895470384,0.5830413452329463
297,9.8699951171875,100.0,100.0,132.0,139.0,575.0,563.0,357.2095461254358,333.39957730239894,403.9027841345253,489.00758815523375,2.8076171875,36.70086956521739,0.5830413452329463
298,9.89996337890625,100.0,100.0,132.0,139.0,572.0,565.0,357.1449184341092,333.4863260695434,403.9027841345253,489.00758815523375,2.79296875,37.13986013986014,0.5841107330140407
299,9.92999267578125,100.0,100.0,132.0,139.0,571.0,563.0,357.16741815300537,333.47993989860737,403.9841043848037,489.01547829114975,2.7880859375,37.28721541155867,0.5847537136078726
280,9.29998779296875,110.0,110.0,137.0,143.0,565.0,555.0,357.21807979906737,333.5274300781786,409.1691603521497,487.6974167344709,2.7587890625,38.18230088495575,0.6500448462734149
281,9.3399658203125,110.0,110.0,135.0,143.0,565.0,556.0,357.21807979906737,333.5274300781786,409.1691603521497,487.6974167344709,2.7587890625,38.18230088495575,0.6500448462734149
282,9.3699951171875,110.0,110.0,135.0,142.0,561.0,554.0,357.21355657697313,333.6022995436444,409.1691603521497,487.6974167344709,2.7392578125,38.78966131907308,0.6503916028561614
283,9.39996337890625,110.0,110.0,134.0,141.0,566.0,555.0,357.17620082775267,333.5406706287445,409.12030954767937,487.7692986887951,2.763671875,38.03180212014134,0.6497335201599764
284,9.44000244140625,110.0,110.0,136.0,143.0,557.0,553.0,357.23608481746817,333.59586345429636,409.18566765630476,487.71063682164606,2.7197265625,39.40574506283662,0.6502442125672105
285,9.469970703125,110.0,110.0,136.0,142.0,563.0,552.0,357.3119077622689,333.49375120059165,409.1691603521497,487.6974167344709,2.7490234375,38.48490230905861,0.6488195672718785
286,9.5,110.0,110.0,136.0,143.0,562.0,553.0,357.137297237885,333.5888000915849,409.18566765630476,487.71063682164606,2.744140625,38.637010676156585,0.6513673976643942
287,9.53997802734375,110.0,110.0,136.0,143.0,563.0,554.0,357.1839687260033,333.6141963637529,409.1691603521497,487.6974167344709,2.7490234375,38.48490230905861,0.6507831754355272
288,9.57000732421875,110.0,110.0,136.0,142.0,566.0,552.0,357.21807979906737,333.5274300781786,409.1691603521497,487.6974167344709,2.763671875,38.03180212014134,0.6500448462734149
289,9.5999755859375,110.0,110.0,135.0,142.0,559.0,553.0,357.23608481746817,333.59586345429636,409.18566765630476,487.71063682164606,2.7294921875,39.09660107334526,0.6502442125672105
290,9.6400146484375,110.0,110.0,135.0,142.0,566.0,556.0,357.1179855498602,333.59568379860127,409.18433033664667,487.73777184180585,2.763671875,38.03180212014134,0.6514970851091643
