,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y,scaled_voltage,resistance,bend_angle
280,8.139999389648438,100.0,100.0,107.0,0.0,627.0,0.0,520.0277752815052,258.5305135938373,545.317748003146,415.6468363191263,3.0615234375,29.759170653907496,0.3191888873419907
281,8.169998168945312,100.0,100.0,107.0,0.0,627.0,0.0,520.0086126267867,258.5118742656324,545.2317429953871,415.7240937568874,3.0615234375,29.759170653907496,0.31816852298271614
282,8.199996948242188,100.0,100.0,107.0,0.0,626.0,0.0,520.0277752815052,258.5305135938373,545.3014995923338,415.6930440631197,3.056640625,29.881789137380192,0.31889507023902336
283,8.229995727539062,100.0,100.0,106.0,0.0,627.0,0.0,519.8386281824585,258.5486332970733,545.1582728961931,415.660616165762,3.0615234375,29.759170653907496,0.31956572234777547
284,8.259994506835938,100.0,100.0,106.0,0.0,629.0,0.0,519.8386281824585,258.5486332970733,545.1582728961931,415.660616165762,3.0712890625,29.515103338632752,0.31956572234777547
285,8.289993286132812,100.0,100.0,106.0,0.0,627.0,0.0,519.9965776063603,258.4109287709647,545.1883583021099,415.5350788380149,3.0615234375,29.759170653907496,0.31795483247851347
286,8.30999755859375,100.0,100.0,106.0,0.0,629.0,0.0,520.0381567783821,258.48812282341686,545.244310105398,415.5833232110275,3.0712890625,29.515103338632752,0.3181908329352481
287,8.339996337890625,100.0,100.0,106.0,0.0,628.0,0.0,520.0381567783821,258.48812282341686,545.244310105398,415.5833232110275,3.06640625,29.636942675159236,0.3181908329352481
288,8.3699951171875,100.0,100.0,106.0,0.0,627.0,0.0,519.9834582481266,258.4868624667437,545.2280496227892,415.6295409536779,3.0615234375,29.759170653907496,0.31857323263089254
289,8.399993896484375,100.0,100.0,107.0,0.0,628.0,0.0,519.9834582481266,258.4868624667437,545.244310105398,415.5833232110275,3.06640625,29.636942675159236,0.3188671771734788
290,8.42999267578125,100.0,100.0,107.0,0.0,628.0,0.0,519.9834582481266,258.4868624667437,545.244310105398,415.5833232110275,3.06640625,29.636942675159236,0.3188671771734788
291,8.460006713867188,100.0,100.0,107.0,0.0,627.0,0.0,520.0390230874674,258.43610381656487,545.1582728961931,415.660616165762,3.0615234375,29.759170653907496,0.3168556577206005
292,8.490005493164062,100.0,100.0,106.0,0.0,628.0,0.0,520.0061669306239,258.3428622487324,545.1001736143032,415.5934051344622,3.06640625,29.636942675159236,0.3164910045134702
293,8.520004272460938,100.0,100.0,107.0,0.0,628.0,0.0,519.9082030514392,258.57004431189546,545.1582728961931,415.660616165762,3.06640625,29.636942675159236,0.3187451164426681
294,8.550003051757812,100.0,100.0,105.0,0.0,627.0,0.0,519.9096951933856,258.51838677388963,545.1001736143032,415.5934051344622,3.0615234375,29.759170653907496,0.3180364521965751
295,8.580001831054688,100.0,100.0,106.0,0.0,627.0,0.0,519.9608863664575,258.5237789805097,545.2280496227892,415.6295409536779,3.0615234375,29.759170653907496,0.31892693787618803
296,8.600006103515625,100.0,100.0,107.0,0.0,628.0,0.0,519.9834582481266,258.4868624667437,545.1582728961931,415.660616165762,3.06640625,29.636942675159236,0.3176456827730143
297,8.6300048828125,100.0,100.0,107.0,0.0,627.0,0.0,519.9834582481266,258.4868624667437,545.1582728961931,415.660616165762,3.0615234375,29.759170653907496,0.3176456827730143
298,8.660003662109375,100.0,100.0,107.0,0.0,626.0,0.0,520.0390230874674,258.43610381656487,545.1582728961931,415.660616165762,3.056640625,29.881789137380192,0.3168556577206005
299,8.69000244140625,100.0,100.0,107.0,0.0,630.0,0.0,519.9834582481266,258.4868624667437,545.2280496227892,415.6295409536779,3.076171875,29.393650793650792,0.31857323263089254
280,8.1300048828125,110.0,110.0,108.0,0.0,611.0,0.0,519.9483546877584,258.2565432534417,550.2025011747918,415.64307064970933,2.9833984375,31.76923076923077,0.3798234748298285
281,8.160003662109375,110.0,110.0,106.0,0.0,613.0,0.0,519.8439717838503,258.11752700369544,550.2715502969343,415.7955970562986,2.9931640625,31.512234910277325,0.3812591909221761
282,8.19000244140625,110.0,110.0,108.0,0.0,614.0,0.0,519.898928166391,258.28725943923376,550.2656521199349,415.62085593801595,2.998046875,31.384364820846905,0.3813280596534294
283,8.220001220703125,110.0,110.0,106.0,0.0,614.0,0.0,519.8759188004425,258.2255329598741,550.28738131171,415.62862975941545,2.998046875,31.384364820846905,0.38171176610753
284,8.25,110.0,110.0,107.0,0.0,615.0,0.0,519.8759188004425,258.2255329598741,550.28738131171,415.62862975941545,3.0029296875,31.256910569105692,0.38171176610753
285,8.280014038085938,110.0,110.0,107.0,0.0,614.0,0.0,519.8261398074391,258.2162260618728,550.1983511340884,415.5468088787426,2.998046875,31.384364820846905,0.38140243847288324
286,8.310012817382812,110.0,110.0,107.0,0.0,612.0,0.0,519.8759188004425,258.2255329598741,550.2132485989157,415.5657386002737,2.98828125,31.640522875816995,0.38095219435782257
287,8.330001831054688,110.0,110.0,107.0,0.0,613.0,0.0,519.9119784071719,258.1718721011671,550.28738131171,415.62862975941545,2.9931640625,31.512234910277325,0.38114324149738527
288,8.360000610351562,110.0,110.0,107.0,0.0,614.0,0.0,519.9119784071719,258.1718721011671,550.28738131171,415.62862975941545,2.998046875,31.384364820846905,0.38114324149738527
289,8.3900146484375,110.0,110.0,107.0,0.0,614.0,0.0,519.9631030792784,258.1299804707,550.28738131171,415.62862975941545,2.998046875,31.384364820846905,0.3804183365949724
