,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y,scaled_voltage
0,0.0,0.0,0.0,101.0,111.0,651.0,642.0,356.9892303824383,333.41455540601584,360.831250461132,488.71211335044467,3.1787109375
1,0.029998779296875,0.0,0.0,100.0,111.0,652.0,641.0,356.9996581636775,333.4687717715343,360.80103553760347,488.7123195740351,3.18359375
2,0.05999755859375,0.0,0.0,101.0,110.0,652.0,642.0,356.8461859444322,333.46479985933536,360.7932297882366,488.66652805201517,3.18359375
3,0.089996337890625,95.0,95.0,100.0,111.0,648.0,641.0,357.1072141501358,333.4373729151,361.04917853651085,488.9287350313591,3.1640625
4,0.1199951171875,95.0,95.0,103.0,114.0,648.0,640.0,357.1072141501358,333.4373729151,361.04917853651085,488.9287350313591,3.1640625
5,0.149993896484375,95.0,95.0,108.0,116.0,650.0,641.0,357.1072141501358,333.4373729151,361.04917853651085,488.9287350313591,3.173828125
6,0.180023193359375,95.0,95.0,110.0,119.0,645.0,639.0,356.94623413187173,333.3645579718143,380.0945927216578,490.86853679210503,3.1494140625
7,0.21002197265625,95.0,95.0,113.0,121.0,643.0,631.0,357.1226868162562,333.3735937620336,383.6101695029383,490.9461677915828,3.1396484375
8,0.240020751953125,95.0,95.0,117.0,123.0,631.0,624.0,356.9107689596383,333.5582623693821,383.5869115135074,491.0889660596114,3.0810546875
9,0.279998779296875,95.0,95.0,119.0,124.0,620.0,615.0,356.9575340934691,333.501147620792,384.27776441099735,491.23364085117896,3.02734375
10,0.30999755859375,95.0,95.0,119.0,126.0,614.0,611.0,356.9575340934691,333.501147620792,384.27776441099735,491.23364085117896,2.998046875
11,0.339996337890625,95.0,95.0,121.0,129.0,610.0,604.0,357.08601458565073,333.5581642212909,388.4179117924226,490.8879186386725,2.978515625
12,0.3699951171875,95.0,95.0,123.0,128.0,601.0,600.0,356.9692729975738,333.53316922043547,392.85373704473284,490.61359129260387,2.9345703125
13,0.399993896484375,95.0,95.0,125.0,130.0,594.0,588.0,356.98084837075777,333.4007005210474,393.82968598380313,490.4138796840571,2.900390625
14,0.430023193359375,95.0,95.0,125.0,132.0,589.0,583.0,356.8454711904795,333.6014600009388,392.6067681191694,490.792405735702,2.8759765625
15,0.46002197265625,95.0,95.0,126.0,132.0,591.0,581.0,357.0578414699994,333.48575349353325,392.10065612614,490.70238081643345,2.8857421875
16,0.490020751953125,95.0,95.0,126.0,133.0,592.0,579.0,356.9107689596383,333.5582623693821,394.488290155831,490.35810949936536,2.890625
17,0.529998779296875,95.0,95.0,128.0,132.0,584.0,578.0,356.98068818777915,333.5592589687339,397.4099388421128,489.9664373053937,2.8515625
18,0.55999755859375,95.0,95.0,127.0,134.0,580.0,573.0,357.0500925261542,333.4721530524574,397.6304281596377,489.9928171242682,2.83203125
19,0.589996337890625,95.0,95.0,128.0,135.0,575.0,570.0,357.08089694807387,333.38934002240694,395.66768205908653,490.3848132785778,2.8076171875
20,0.6199951171875,95.0,95.0,128.0,135.0,580.0,571.0,357.1297307502882,333.4581231251463,395.45218557511726,490.55568083912317,2.83203125
21,0.649993896484375,95.0,95.0,128.0,135.0,582.0,571.0,357.1529899011194,333.51496881779696,397.00566520070885,490.0277966454288,2.841796875
22,0.680023193359375,95.0,95.0,128.0,136.0,583.0,570.0,357.04567440715243,333.49669517863833,398.92721674896796,489.79871041440487,2.8466796875
23,0.71002197265625,95.0,95.0,128.0,136.0,574.0,567.0,357.1529899011194,333.51496881779696,398.686733350145,489.8452528510365,2.802734375
24,0.740020751953125,95.0,95.0,129.0,135.0,575.0,565.0,357.1122957329702,333.4753272333792,397.4636948492839,490.08816511432025,2.8076171875
25,0.779998779296875,95.0,95.0,129.0,136.0,574.0,567.0,357.0578414699994,333.48575349353325,396.5750246639476,490.169404992262,2.802734375
26,0.80999755859375,95.0,95.0,128.0,136.0,576.0,570.0,357.0578414699994,333.48575349353325,396.5750246639476,490.169404992262,2.8125
27,0.839996337890625,95.0,95.0,130.0,136.0,575.0,566.0,357.16848262074745,333.45118131084433,398.2350488806995,490.05130577170064,2.8076171875
28,0.8699951171875,95.0,95.0,127.0,135.0,571.0,563.0,357.30100961884085,333.43771542675006,399.7722190652328,489.5709380839372,2.7880859375
29,0.899993896484375,95.0,95.0,129.0,136.0,568.0,564.0,357.30100961884085,333.43771542675006,399.7722190652328,489.5709380839372,2.7734375
30,0.930023193359375,95.0,95.0,129.0,136.0,572.0,562.0,357.22605207420605,333.4239079312175,398.3936492024525,490.0491670677321,2.79296875
31,0.96002197265625,95.0,95.0,128.0,135.0,574.0,563.0,357.20349328145363,333.4301843576498,397.77122683668813,490.0397405980334,2.802734375
32,0.990020751953125,95.0,95.0,130.0,136.0,571.0,564.0,357.27878669054473,333.4439822595296,398.53335165142346,489.9789579165714,2.7880859375
33,1.029998779296875,95.0,95.0,128.0,135.0,572.0,565.0,357.281756830382,333.42234681659886,400.18473003345497,489.4396872766864,2.79296875
34,1.05999755859375,95.0,95.0,129.0,136.0,572.0,561.0,357.20230287894145,333.48310739306686,399.9999046950515,489.5255027668511,2.79296875
35,1.089996337890625,95.0,95.0,128.0,135.0,569.0,563.0,357.22480296778906,333.4767221250143,398.50191578311785,490.0122393509775,2.7783203125
36,1.1199951171875,95.0,95.0,129.0,136.0,574.0,564.0,357.1841887786916,333.43714578799666,398.05851050048517,489.93960464998247,2.802734375
37,1.149993896484375,95.0,95.0,129.0,136.0,571.0,563.0,357.14027255506164,333.41840386855864,398.66918645012953,489.9483338525599,2.7880859375
38,1.180023193359375,95.0,95.0,128.0,135.0,573.0,562.0,357.1442709523753,333.4442369778216,400.3266127707948,489.51817412958695,2.7978515625
39,1.21002197265625,95.0,95.0,129.0,137.0,570.0,560.0,357.1451989310273,333.50794657506117,400.1344140748543,489.5790695048038,2.783203125
40,1.240020751953125,95.0,95.0,128.0,136.0,571.0,564.0,357.22155435729144,333.4987725297263,398.6012054950604,489.79427987724193,2.7880859375
41,1.279998779296875,95.0,95.0,130.0,136.0,572.0,563.0,357.2118572038829,333.4874258013734,398.471665897027,490.07616683148785,2.79296875
42,1.30999755859375,95.0,95.0,129.0,136.0,564.0,563.0,357.2118572038829,333.4874258013734,398.471665897027,490.07616683148785,2.75390625
43,1.339996337890625,95.0,95.0,129.0,135.0,569.0,563.0,357.27878669054473,333.4439822595296,398.81809133144674,489.8700811745042,2.7783203125
44,1.3699951171875,95.0,95.0,130.0,136.0,566.0,560.0,357.14531136492906,333.4852705194697,400.2798044552486,489.47621081117046,2.763671875
45,1.399993896484375,95.0,95.0,129.0,135.0,572.0,560.0,357.16816731397006,333.47881635445805,400.00001290893505,489.57010537716087,2.79296875
46,1.430023193359375,95.0,95.0,130.0,136.0,572.0,560.0,357.20338161606225,333.45270221627237,398.67739873034765,489.8602210832017,2.79296875
47,1.46002197265625,95.0,95.0,130.0,136.0,572.0,561.0,357.20230287894145,333.48310739306686,398.51933620920744,490.0232932265698,2.79296875
48,1.490020751953125,95.0,95.0,130.0,136.0,569.0,561.0,357.22476164550415,333.3982853206709,399.16984539773244,489.78015149676827,2.7783203125
49,1.52001953125,95.0,95.0,129.0,136.0,572.0,561.0,357.22623587497253,333.50889028691563,400.3699009625508,489.58149040291596,2.79296875
50,1.55999755859375,95.0,95.0,128.0,136.0,570.0,561.0,357.30564879461895,333.44785068423107,400.128178975066,489.53436150589835,2.783203125
51,1.589996337890625,95.0,95.0,130.0,136.0,568.0,561.0,357.23071241253217,333.4340263303777,398.7238726504847,489.83680307226854,2.7734375
52,1.6199951171875,95.0,95.0,129.0,136.0,570.0,558.0,357.21150162720176,333.41857421965557,398.5769414273038,490.04229906185765,2.783203125
53,1.649993896484375,95.0,95.0,130.0,138.0,571.0,561.0,357.1603698143939,333.52206242656536,399.1364622289065,489.78691794397923,2.7880859375
54,1.680023193359375,95.0,95.0,130.0,137.0,571.0,560.0,357.15001453693543,333.4953711306846,400.32706585484374,489.57338191753524,2.7880859375
55,1.71002197265625,95.0,95.0,128.0,136.0,571.0,559.0,357.2641846342874,333.43868025312474,400.1817592123572,489.5052353175661,2.7880859375
56,1.740020751953125,95.0,95.0,129.0,136.0,569.0,559.0,357.2641846342874,333.43868025312474,400.1817592123572,489.5052353175661,2.7783203125
57,1.77001953125,95.0,95.0,127.0,135.0,572.0,561.0,357.1602410589132,333.5494932158406,399.13124363944263,489.7449782635837,2.79296875
58,1.80999755859375,95.0,95.0,130.0,136.0,571.0,559.0,357.13082471625466,333.4796225085207,398.72093654097904,489.9235127501331,2.7880859375
59,1.839996337890625,95.0,95.0,129.0,137.0,569.0,560.0,357.22947761135333,333.48684049997524,399.43247037759915,489.58146473790157,2.7783203125
60,1.8699951171875,95.0,95.0,129.0,137.0,570.0,560.0,357.15365144600077,333.4732327291142,400.2375018296976,489.54376465853164,2.783203125
61,1.899993896484375,95.0,95.0,129.0,136.0,568.0,559.0,357.283434866947,333.4541125683855,399.97557791301733,489.63680172588255,2.7734375
62,1.930023193359375,95.0,95.0,128.0,135.0,570.0,562.0,357.283434866947,333.4541125683855,399.97557791301733,489.63680172588255,2.783203125
63,1.96002197265625,95.0,95.0,130.0,136.0,566.0,562.0,357.14126791815477,333.53384376773016,398.7246548581668,489.96735141305777,2.763671875
64,1.990020751953125,95.0,95.0,129.0,136.0,570.0,562.0,357.23071241253217,333.4340263303777,399.5561249853438,489.6015398281684,2.783203125
65,2.02001953125,95.0,95.0,129.0,136.0,573.0,558.0,357.0834324918062,333.5390280148349,400.21677229578944,489.5851207690786,2.7978515625
66,2.05999755859375,95.0,95.0,130.0,136.0,567.0,558.0,357.10622030760493,333.53253926158277,400.02076989883346,489.53398841191074,2.7685546875
67,2.089996337890625,95.0,95.0,127.0,136.0,570.0,556.0,357.0062736972345,333.54838196260033,399.3660372139482,489.67558562146183,2.783203125
68,2.1199951171875,95.0,95.0,129.0,137.0,569.0,558.0,357.1076139026891,333.6160409515394,398.71694568759085,489.9149990102412,2.7783203125
69,2.149993896484375,95.0,95.0,129.0,135.0,568.0,557.0,357.07905450599895,333.5435598424814,399.38984839306937,489.67044703317316,2.7734375
70,2.180023193359375,95.0,95.0,129.0,136.0,570.0,558.0,357.07905450599895,333.5435598424814,399.38984839306937,489.67044703317316,2.783203125
71,2.21002197265625,95.0,95.0,129.0,136.0,566.0,559.0,357.07905450599895,333.5435598424814,399.38984839306937,489.67044703317316,2.763671875
72,2.240020751953125,95.0,95.0,129.0,134.0,568.0,560.0,357.07905450599895,333.5435598424814,399.38984839306937,489.67044703317316,2.7734375
73,2.27001953125,95.0,95.0,128.0,136.0,569.0,560.0,357.0551131078524,333.5937947943593,399.24785383544145,489.7451927476149,2.7783203125
74,2.30999755859375,95.0,95.0,129.0,136.0,572.0,561.0,357.0248822139748,333.58850396522274,398.6816916197749,489.8549582675013,2.79296875
75,2.339996337890625,95.0,95.0,130.0,136.0,567.0,558.0,357.1371510519854,333.51119271112316,399.3201883338587,489.5096836070482,2.7685546875
76,2.3699951171875,95.0,95.0,130.0,136.0,568.0,559.0,357.07905450599895,333.5435598424814,399.83730816387884,489.4530414462769,2.7734375
77,2.399993896484375,95.0,95.0,128.0,135.0,570.0,560.0,357.01965012177624,333.5042360502112,399.7666834826525,489.45352361785723,2.783203125
78,2.430023193359375,95.0,95.0,130.0,136.0,567.0,560.0,356.93599527398743,333.59378544616544,399.18617910705456,489.5981235515285,2.7685546875
79,2.46002197265625,95.0,95.0,128.0,136.0,569.0,562.0,357.0248822139748,333.58850396522274,398.71694568759085,489.9149990102412,2.7783203125
80,2.490020751953125,95.0,95.0,130.0,136.0,570.0,561.0,357.1372673864106,333.48873617568523,399.39239298264187,489.6238591016594,2.783203125
81,2.52001953125,95.0,95.0,130.0,138.0,568.0,560.0,357.12666992446805,333.5023153731177,400.14222436667865,489.4622533306787,2.7734375
82,2.55999755859375,95.0,95.0,127.0,136.0,570.0,561.0,356.989495604396,333.6367301847188,399.78725053695666,489.4701177006302,2.783203125
83,2.589996337890625,95.0,95.0,129.0,135.0,567.0,561.0,357.20066359296413,333.45506040062617,399.0973195723339,489.6292349362023,2.7685546875
84,2.6199951171875,95.0,95.0,129.0,136.0,565.0,561.0,357.168578903547,333.53699437739635,398.7128385344267,489.8715980813127,2.7587890625
85,2.649993896484375,95.0,95.0,129.0,135.0,576.0,564.0,357.0081776878104,333.65242642567637,399.5311294777975,489.5932126228639,2.8125
86,2.680023193359375,95.0,95.0,130.0,136.0,568.0,561.0,357.0133483300194,333.5845675717639,400.07435807330205,489.54621111294955,2.7734375
87,2.71002197265625,95.0,95.0,127.0,136.0,570.0,562.0,357.0133483300194,333.5845675717639,400.07435807330205,489.54621111294955,2.783203125
88,2.740020751953125,95.0,95.0,129.0,137.0,570.0,561.0,357.1924940775436,333.4082584119816,399.09632547214227,489.5665849558986,2.783203125
89,2.77001953125,95.0,95.0,129.0,136.0,570.0,561.0,357.26783519426607,333.39954776386287,399.0650427795941,489.53533608654317,2.783203125
90,2.800018310546875,95.0,95.0,130.0,136.0,570.0,561.0,357.26783519426607,333.39954776386287,399.0650427795941,489.53533608654317,2.783203125
91,2.839996337890625,95.0,95.0,128.0,137.0,564.0,559.0,356.972423363321,333.47529205386195,399.58382778395315,489.4769502128004,2.75390625
92,2.8699951171875,95.0,95.0,129.0,136.0,570.0,561.0,356.972423363321,333.47529205386195,399.58382778395315,489.4769502128004,2.783203125
93,2.899993896484375,95.0,95.0,129.0,136.0,569.0,562.0,357.16870610806717,333.3223940906858,399.87171630421847,489.4472471000641,2.7783203125
94,2.930023193359375,95.0,95.0,128.0,136.0,570.0,561.0,357.2138997843985,333.4322687800118,399.4605214911329,489.52387818699776,2.783203125
95,2.96002197265625,95.0,95.0,129.0,136.0,570.0,558.0,356.95904342647674,333.4275067387398,399.08590931509804,489.5341750648944,2.783203125
96,2.990020751953125,95.0,95.0,130.0,136.0,570.0,560.0,356.99079849495797,333.49381599493694,399.3892759213628,489.46095599058435,2.783203125
97,3.02001953125,95.0,95.0,128.0,136.0,564.0,558.0,357.21514281966654,333.3794789643611,399.81802808782874,489.3939016439718,2.75390625
98,3.050018310546875,95.0,95.0,130.0,136.0,571.0,559.0,357.0379421054043,333.43406471856036,399.8906912766071,489.45126953484254,2.7880859375
99,3.089996337890625,95.0,95.0,130.0,136.0,569.0,561.0,357.10774018325014,333.4336481146096,399.6564828619981,489.4805057718353,2.7783203125
100,3.1199951171875,95.0,95.0,129.0,136.0,573.0,562.0,357.0495731801055,333.4885174539035,399.2498327326078,489.507731847154,2.7978515625
101,3.149993896484375,95.0,95.0,129.0,135.0,571.0,562.0,357.19594435683297,333.3640369866855,399.46827950223053,489.4654657910409,2.7880859375
102,3.180023193359375,95.0,95.0,129.0,135.0,568.0,561.0,357.06871804335225,333.45417163261686,399.81418778280334,489.47519961636317,2.7734375
103,3.21002197265625,95.0,95.0,130.0,136.0,570.0,560.0,357.06871804335225,333.45417163261686,399.81418778280334,489.47519961636317,2.783203125
104,3.240020751953125,95.0,95.0,127.0,136.0,569.0,558.0,357.1344755142569,333.4408076666781,399.8690138391849,489.5023965639995,2.7783203125
105,3.27001953125,95.0,95.0,129.0,136.0,571.0,559.0,357.11518810680803,333.44768556779707,399.7687290960234,489.4671528519816,2.7880859375
106,3.300018310546875,95.0,95.0,128.0,136.0,569.0,560.0,357.27080078511995,333.37792248515643,399.52497163831356,489.5146814479599,2.7783203125
107,3.339996337890625,95.0,95.0,129.0,136.0,568.0,561.0,357.2900389148184,333.3932853763556,399.6363276607729,489.49199933353435,2.7734375
108,3.3699951171875,95.0,95.0,129.0,137.0,569.0,561.0,357.041438319054,333.51409645108333,399.75282753957083,489.38854389954605,2.7783203125
109,3.399993896484375,95.0,95.0,129.0,136.0,571.0,561.0,357.041438319054,333.51409645108333,399.75282753957083,489.38854389954605,2.7880859375
110,3.430023193359375,95.0,95.0,129.0,136.0,570.0,560.0,357.00686928140914,333.4294720777266,399.54985371160933,489.4212282626539,2.783203125
111,3.46002197265625,95.0,95.0,130.0,136.0,572.0,562.0,357.0934256825696,333.3891437002879,399.53024656314324,489.43052345767734,2.79296875
112,3.490020751953125,95.0,95.0,130.0,136.0,569.0,558.0,357.05442783526485,333.5176168062306,399.75298533111373,489.43803310784153,2.7783203125
113,3.52001953125,95.0,95.0,130.0,136.0,571.0,559.0,356.94863525854055,333.45434490074246,399.9454213996735,489.40905858072006,2.7880859375
114,3.550018310546875,95.0,95.0,128.0,136.0,572.0,560.0,357.0963347047934,333.42289974496526,399.70348996305995,489.50699251033524,2.79296875
115,3.589996337890625,95.0,95.0,129.0,137.0,570.0,559.0,356.9994181846819,333.4157599096841,399.5376322682126,489.47117946706516,2.783203125
116,3.6199951171875,95.0,95.0,130.0,136.0,568.0,559.0,356.97840355254874,333.5046284849965,399.5573371439264,489.4619424873632,2.7734375
117,3.649993896484375,95.0,95.0,129.0,136.0,566.0,559.0,356.94121145842934,333.4704732965457,399.7203900400645,489.46577090239947,2.763671875
118,3.680023193359375,95.0,95.0,129.0,136.0,570.0,562.0,357.0830285788156,333.4430536850923,399.88717271910116,489.49334509746797,2.783203125
119,3.71002197265625,95.0,95.0,128.0,135.0,568.0,559.0,357.0830285788156,333.4430536850923,399.88717271910116,489.49334509746797,2.7734375
120,3.740020751953125,95.0,95.0,130.0,136.0,569.0,559.0,357.02594004536746,333.4678781547531,399.86484007574336,489.4529731833589,2.7783203125
121,3.77001953125,95.0,95.0,128.0,136.0,573.0,561.0,357.0172942380808,333.48366934393476,399.7752768845999,489.4929834801241,2.7978515625
122,3.800018310546875,95.0,95.0,129.0,137.0,565.0,560.0,357.0260542298029,333.44521139702516,399.71759381393093,489.52095908963736,2.7587890625
123,3.83001708984375,95.0,95.0,129.0,136.0,569.0,557.0,357.0260542298029,333.44521139702516,399.71759381393093,489.52095908963736,2.7783203125
