,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y
4693,113.55999755859375,125.0,125.0,18.0,61.0,1.0,0.0,607.5254772546203,222.3656455536263,637.5006595882905,404.35410275102953
4694,113.58001708984375,125.0,125.0,22.0,62.0,2.0,0.0,607.3763867734408,222.4919076248253,637.3608313827397,404.26225259689994
4695,113.6099853515625,125.0,125.0,24.0,61.0,1.0,7.0,607.4343037979796,222.49531187224997,637.9778189097743,404.25459371381436
4696,113.6400146484375,125.0,125.0,29.0,61.0,2.0,0.0,607.4343037979796,222.49531187224997,637.9778189097743,404.25459371381436
4697,113.65997314453125,125.0,125.0,24.0,61.0,1.0,2.0,607.4552097224891,222.51084672094373,638.6306638983367,404.2068603330443
4698,113.69000244140625,125.0,125.0,19.0,61.0,0.0,5.0,607.3190402482218,222.59593311044011,639.8151318013929,404.1331206848279
4699,113.72003173828125,125.0,125.0,22.0,62.0,2.0,0.0,607.3206827294481,222.5541899063061,640.2518263681013,404.43768630288747
4700,113.739990234375,125.0,125.0,26.0,63.0,0.0,0.0,607.3206827294481,222.5541899063061,640.2518263681013,404.43768630288747
4701,113.77001953125,125.0,125.0,21.0,61.0,1.0,5.0,607.3763867734408,222.4919076248253,640.1646233818898,404.4576987278433
4702,113.79998779296875,125.0,125.0,20.0,61.0,3.0,0.0,607.44260689072,222.46088463826612,639.6831741190014,404.17410269386494
4703,113.83001708984375,125.0,125.0,21.0,61.0,2.0,0.0,607.4552097224891,222.51084672094373,638.6079623335622,404.2187152902805
4704,113.8499755859375,125.0,125.0,28.0,61.0,1.0,1.0,607.4940793375027,222.49936417232902,638.168581605109,404.2798232442163
4705,113.8800048828125,125.0,125.0,21.0,61.0,2.0,5.0,607.4552097224891,222.51084672094373,638.168581605109,404.2798232442163
4706,113.90997314453125,125.0,125.0,19.0,62.0,0.0,0.0,607.4552097224891,222.51084672094373,638.168581605109,404.2798232442163
4707,113.92999267578125,125.0,125.0,22.0,61.0,2.0,1.0,607.3993461594152,222.57258134940994,638.4578370519168,404.1403415922133
4708,113.96002197265625,125.0,125.0,27.0,62.0,1.0,1.0,607.4301838959435,222.52311168343337,639.4237717156337,404.19007597420256
4709,113.989990234375,125.0,125.0,25.0,61.0,2.0,0.0,607.3852867141034,222.45694661980565,640.0937719135421,404.347416596699
4710,114.02001953125,125.0,125.0,27.0,61.0,2.0,3.0,607.464083804302,222.4758752966151,640.2463991414589,404.3931101954514
4711,114.03997802734375,125.0,125.0,30.0,61.0,2.0,7.0,607.464083804302,222.4758752966151,640.2463991414589,404.3931101954514
4712,114.07000732421875,125.0,125.0,26.0,61.0,2.0,0.0,607.464083804302,222.4758752966151,640.1948791374228,404.458768393651
4713,114.0999755859375,125.0,125.0,25.0,61.0,1.0,0.0,607.464083804302,222.4758752966151,640.0108174749257,404.3746141738897
4714,114.1199951171875,125.0,125.0,20.0,61.0,1.0,0.0,607.4082376435683,222.53761838240956,638.8412256532565,404.1600816214954
4715,114.1500244140625,125.0,125.0,30.0,61.0,1.0,2.0,607.464083804302,222.4758752966151,638.4510299882518,404.14684653612545
4716,114.17999267578125,125.0,125.0,24.0,61.0,1.0,0.0,607.4082376435683,222.53761838240956,638.4531178974205,404.09627920425896
4717,114.20001220703125,125.0,125.0,21.0,61.0,2.0,0.0,607.4082376435683,222.53761838240956,638.4531178974205,404.09627920425896
4718,114.22998046875,125.0,125.0,26.0,62.0,0.0,6.0,607.5103922036456,222.43560948286117,638.6709436285802,404.1685565215581
4719,114.260009765625,125.0,125.0,27.0,61.0,1.0,0.0,607.4870522303073,222.48551212139915,639.7566598907712,404.37653133584257
4720,114.28997802734375,125.0,125.0,22.0,61.0,3.0,3.0,607.4870522303073,222.48551212139915,639.7566598907712,404.37653133584257
4721,114.30999755859375,125.0,125.0,25.0,61.0,3.0,2.0,607.464083804302,222.4758752966151,640.1592301651231,404.4131460609261
4722,114.34002685546875,125.0,125.0,23.0,61.0,0.0,3.0,607.464083804302,222.4758752966151,640.3009722520753,404.3952668061153
4723,114.3699951171875,125.0,125.0,29.0,61.0,3.0,0.0,607.3852867141034,222.45694661980565,640.1948791374228,404.458768393651
4724,114.3900146484375,125.0,125.0,22.0,62.0,0.0,0.0,607.464083804302,222.4758752966151,639.9298451538741,404.34524516246813
4725,114.41998291015625,125.0,125.0,21.0,61.0,4.0,2.0,607.4735780372735,222.4111227724519,639.17734105679,404.2559204332425
4726,114.45001220703125,125.0,125.0,22.0,61.0,1.0,0.0,607.464083804302,222.4758752966151,638.6475029406132,404.1777955473728
4727,114.47003173828125,125.0,125.0,28.0,61.0,0.0,0.0,607.464083804302,222.4758752966151,638.6475029406132,404.1777955473728
4728,114.5,125.0,125.0,23.0,61.0,3.0,0.0,607.5791748098926,222.67907280408235,639.0905790090735,404.3463554844133
4729,114.530029296875,125.0,125.0,22.0,61.0,2.0,0.0,607.5791748098926,222.67907280408235,639.0905790090735,404.3463554844133
4730,114.55999755859375,125.0,125.0,23.0,61.0,3.0,6.0,607.6351843690038,222.61729349171242,639.9976783361838,404.60980689551104
4731,114.58001708984375,125.0,125.0,32.0,61.0,1.0,0.0,607.6351843690038,222.61729349171242,640.2095818393722,404.58458436965367
4732,114.6099853515625,125.0,125.0,24.0,61.0,0.0,1.0,607.6011791753924,222.66456076930598,640.3624688247953,404.63044177335854
4733,114.6400146484375,125.0,125.0,22.0,61.0,3.0,2.0,607.6011791753924,222.66456076930598,640.2095818393722,404.58458436965367
